date_found,category,source,title,company,location,comp,link
2026-06-15,Closer,Quick Add,High-Ticket Closer,1% Academy,Remote,"$380 per close, $10K+/month potential",https://docs.google.com/document/d/18jkeCvkNxwNB3izHy6Iiek88P9LqtRwIWS3MFjYg5NU/edit?usp=sharing
2026-06-15,Closer,Adzuna,"Remote Notary Closer New Orleans, LA",Certified Mobile Notary Service,"New Orleans, Orleans Parish",$37726-$37726,https://www.adzuna.com/details/4511641864?utm_medium=api&utm_source=3e941a8f
2026-06-15,Closer,Quick Add,Remote Sales Closer,GetBoardwise,Remote,"£30,000 - £35,000 base salary, OTE £100,000+",https://uk.indeed.com/viewjob?jk=7b65f7c8c79b00f5&from=shareddesktop_copy
2026-06-15,Closer,Adzuna,Remote High-Ticket Sales Closer | AI Business Consultant | $165K-$183K OTE,The Rainmaker Family,"Del Mar, San Diego County",$2000-$35000,https://www.adzuna.com/details/5716613790?utm_medium=api&utm_source=3e941a8f
2026-06-15,Closer,Arbeitnow,(Senior) Product Manager (w/m/d) (remote),Weflow,Berlin,,https://www.arbeitnow.com/jobs/companies/weflow/senior-product-manager-berlin-402867
2026-06-15,Setter / SDR,Adzuna,Appointment Setter - Call Center Representative,Calm Water and Bath,"Cherry Hill, Camden County",$46145-$46145,https://www.adzuna.com/land/ad/5764443413?se=NlbuSwpp8RGY09niaMLJtg&utm_medium=api&utm_source=3e941a8f&v=3F57E73EDA36070F69D76BE17E6A28899BDF05DB
2026-06-15,Setter / SDR,Adzuna,Appointment Setter,Employmate Proprietary Limited,"Surry Hills, Sydney",,https://www.adzuna.com.au/details/5727442781?utm_medium=api&utm_source=3e941a8f
2026-06-15,Setter / SDR,Adzuna,Sales Development Representative,Workable,"London, UK",$33000-$45000,https://www.adzuna.co.uk/jobs/details/5760088428?utm_medium=api&utm_source=3e941a8f
2026-06-15,Success (CSM / customer / client / student),Adzuna,CCO Training and Onboarding Specialist,Audika,"North Ryde, Ryde Area",,https://www.adzuna.com.au/details/5758527161?utm_medium=api&utm_source=3e941a8f
2026-06-15,Success (CSM / customer / client / student),Jobicy,Client Success Manager – Payer,Datavant,USA,,https://jobicy.com/jobs/146548-client-success-manager-payer
2026-06-15,Success (CSM / customer / client / student),Adzuna,Customer Success Manager,HiddenLayer,"Washington, Washington, D.C.",$97927-$97927,https://www.adzuna.com/land/ad/5764467027?se=hHb6Tgpp8RGjKJIWHOfiKg&utm_medium=api&utm_source=3e941a8f&v=E460128BC71FA0B035874A86997E6F3EB211AA89
2026-06-15,Success (CSM / customer / client / student),Jobicy,Customer Success Manager,Screenverse,USA,,https://jobicy.com/jobs/146553-customer-success-manager-37
2026-06-15,Success (CSM / customer / client / student),Adzuna,Onboarding Specialist,ServiceWorks,"Saint Louis, Saint Louis County",$53128-$53128,https://www.adzuna.com/land/ad/5764433655?se=rB3LTwpp8RGYRcJ23Lmaxg&utm_medium=api&utm_source=3e941a8f&v=8C85E18112C954CF85B0EBB7DD43A4BC6996433E
2026-06-15,Success (CSM / customer / client / student),Adzuna,Onboarding Specialist,Street Group,"Manchester, Greater Manchester",$28000-$30000,https://www.adzuna.co.uk/jobs/details/5704448752?utm_medium=api&utm_source=3e941a8f
2026-06-15,Success (CSM / customer / client / student),Jobicy,Customer Success Manager,Thales,USA,,https://jobicy.com/jobs/146551-customer-success-manager-36
2026-06-15,Success (CSM / customer / client / student),RemoteOK,Student Success Advisor Evenings,Walden University,"Columbia, Columbia, Maryland, United States",,https://remoteOK.com/remote-jobs/remote-student-success-advisor-evenings-walden-university-1133418
2026-06-15,VA / Admin / Assistant,Adzuna,Administrative Assistant (Remote / Work From Home – Part Time),Checkmate,"Bundall, Gold Coast",,https://www.adzuna.com.au/details/5751117735?utm_medium=api&utm_source=3e941a8f
2026-06-15,VA / Admin / Assistant,RemoteOK,Admin Virtual Assistant,myVA Rocks,Remote,,https://remoteOK.com/remote-jobs/remote-admin-virtual-assistant-myva-rocks-1133405
2026-06-15,VA / Admin / Assistant,RemoteOK,Executive Assistant the Founders,Silhouette Group Inc.,Remote,,https://remoteOK.com/remote-jobs/remote-executive-assistant-the-founders-silhouette-group-inc-1133407
2026-06-15,VA / Admin / Assistant,Adzuna,Virtual Executive Assistant,"Team Delegate, LLC","Dallas, Texas",$62382-$62382,https://www.adzuna.com/details/5764469918?utm_medium=api&utm_source=3e941a8f
2026-06-15,VA / Admin / Assistant,Adzuna,Remote Administrative Assistant,Turbomachinery Latin America - Houston,"Meriden, New Haven County",$52000-$62400,https://www.adzuna.com/details/5764665775?utm_medium=api&utm_source=3e941a8f
2026-06-15,VA / Admin / Assistant,Adzuna,Remote Administrative Assistant Part-Time | Flexible Hours,Universal Aviation,"Boston, Suffolk County",$40404-$40404,https://www.adzuna.com/details/5726428488?utm_medium=api&utm_source=3e941a8f
