date_found,category,source,title,company,location,comp,link
2026-07-31,Closer,WeWorkRemotely,Remote High-Ticket Closer,6 Figure Creative,Anywhere in the World,,https://weworkremotely.com/remote-jobs/6-figure-creative-remote-high-ticket-closer
2026-07-31,Closer,Adzuna,"High-Ticket Sales Closer — Inbound (Remote, Australian Company)",LicencePath,"Oatley, Hurstville Area",,https://www.adzuna.com.au/details/5821195902?utm_medium=api&utm_source=3e941a8f
2026-07-31,Closer,RemoteOK,Admissions Advisor MasterClass Executive,MasterClass,"San Francisco, San Francisco, California, United States",,https://remoteOK.com/remote-jobs/remote-admissions-advisor-masterclass-executive-masterclass-1135740
2026-07-31,Closer,Arbeitnow,"Enterprise Core Account Executive, UK",Samsara,"London, London, United Kingdom",,https://www.arbeitnow.co.uk/jobs/companies/samsara/enterprise-core-account-executive-uk-london-470724
2026-07-31,Closer,Arbeitnow,"Account Executive, Majors (Select) - UK&I",Samsara,United Kingdom,,https://www.arbeitnow.co.uk/jobs/companies/samsara/account-executive-majors-select-uki-united-kingdom-494685
2026-07-31,Closer,Jooble,Appointment Setter,Terraboost Media,"Houston, TX",,https://jooble.org/jdp/-6560600320204648828
2026-07-31,Success (CSM / customer / client / onboarding),Working Nomads,Customer Success Lead,Cloudasta,Latin America,,https://www.workingnomads.com/job/go/1764739/
2026-07-31,Success (CSM / customer / client / onboarding),Adzuna,Customer Success Manager,Outpost,"Austin, Travis County",$134491-$134491,https://www.adzuna.com/land/ad/5821656559?se=esxsUuiM8RGGgO_n0rmdiQ&utm_medium=api&utm_source=3e941a8f&v=78567106EDD2224D495915AAF01D1296353CCC3F
2026-07-31,VA / Social / Chat,JSearch,Express Virtual Assistant ( Work At Home ),Ovextech,Remote,,https://bebee.com/us/jobs/express-virtual-assistant-work-at-home-ovextech-dallas--ss-us-kathms
2026-07-31,VA / Social / Chat,JSearch,Urgently Hiring: ChatGPT Virtual Assistant Jobs (Part/Full Time),remote zest jobs,Remote,,https://remotezest.up.railway.app/job/urgently-hiring-chatgpt-virtual-assistant-jobs-partfull-time-2
2026-07-31,VA / Social / Chat,JSearch,Immediate Hiring: ChatGPT Virtual Assistant Jobs (Part/Full Time) at arenaflex,remote zest jobs,Remote,,https://remotezest.up.railway.app/job/immediate-hiring-chatgpt-virtual-assistant-jobs-partfull-time-at-arenaflex-1
