date_found,category,source,title,company,location,comp,link
2026-08-09,Closer,WeWorkRemotely,Sr. Account Director,Amwell,Anywhere in the World,,https://weworkremotely.com/remote-jobs/amwell-sr-account-director
2026-08-09,Closer,Arbeitnow,Head of Sales | Fund Administration | VC & PE | Private Markets,bunch,London,,https://www.arbeitnow.co.uk/jobs/companies/bunch/head-of-sales-fund-administration-vc-pe-private-markets-london-287729
2026-08-09,Closer,JSearch,Remote Closer [High Ticket],Cuvo Health,Remote,$300000-$450000,https://join.com/companies/medstraco/16523185-remote-closer-high-ticket
2026-08-09,Closer,JSearch,High-Ticket Closer (Remote),FlexBoard,Remote,,https://flexboard.9y.liveblog365.com/job/3246646/
2026-08-09,Closer,JSearch,"High-Ticket Closer - Fitness, Remote, Commission-Based",FlexBoard,Remote,,https://flexboard.9y.liveblog365.com/job/2254495
2026-08-09,Closer,WeWorkRemotely,Account Executive (Enterprise) - West Region,Iterable,Anywhere in the World,,https://weworkremotely.com/remote-jobs/iterable-account-executive-enterprise-west-region
2026-08-09,Closer,JSearch,Remote High Ticket Closer,Remote Spark,Remote,,https://remotespark.up.railway.app/job/remote-high-ticket-closer-14
2026-08-09,Closer,JSearch,Remote Elite AI Appointment Setter - Earn $75K-$300K+,WorkOptional,Remote,$75000-$300000,"https://www.ziprecruiter.com/c/WorkOptional/Job/Remote-Elite-AI-Appointment-Setter-Earn-$75K-$300K+/-in-Remote,US?jid=49d0f4287b630c77"
2026-08-09,Setter / SDR,Adzuna,Entry-Level Sales Development Representative Remote,Globe Life,"Parsippany Troy Hills, Morris County",$110019-$110019,https://www.adzuna.com/land/ad/5826907952?se=nlWTv_qT8RGWPoJqQXFPnw&utm_medium=api&utm_source=3e941a8f&v=342F782F89FEB0718AEAB654BD0D2C90BBE0FCBD
2026-08-09,Success (CSM / customer / client / onboarding),Jooble,Customer Success Manager,"Pointcare, Inc.",United States,$100k,https://jooble.org/jdp/-8050310538764310272
